what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1378092901044
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1378092901044
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1378092901056
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1378092901061
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1378092901066
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1378092901066
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1378092901077
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1378092901077
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1378092901088
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1378092901096
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1378092901102
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1378092901103
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1378092901109
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1378092901119
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1378092901124
started,bundle,com.altera.sbtgui.integration,13.0.0.156-2,"com.altera.sbtgui.integration",1378092901125
started,bundle,com.altera.sbtgui.launch,13.0.0.156-2,"com.altera.sbtgui.launch",1378092901132
started,bundle,com.altera.sbtgui.project,13.0.0.156-2,"com.altera.sbtgui.project",1378092901140
started,bundle,com.altera.systemconsole,13.0.0.156-2,"com.altera.systemconsole",1378092901140
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156-2,"com.altera.systemconsole.designs.plugin",1378092901140
started,bundle,com.altera.utilities,13.0.0.156-2,"com.altera.utilities",1378092901140
os,sysinfo,,,"win32",1378092901142
arch,sysinfo,,,"x86",1378092901142
ws,sysinfo,,,"win32",1378092901142
locale,sysinfo,,,"zh_CN",1378092901142
processors,sysinfo,,,"4",1378092901142
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1378092901142
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1378092901142
java.specification.name,sysinfo,,,"Java Platform API Specification",1378092901142
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378092901143
java.specification.version,sysinfo,,,"1.6",1378092901143
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1378092901143
java.version,sysinfo,,,"1.6.0_23",1378092901143
java.vm.info,sysinfo,,,"mixed mode",1378092901143
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1378092901143
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378092901143
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378092901143
java.vm.specification.version,sysinfo,,,"1.0",1378092901143
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1378092901143
java.vm.version,sysinfo,,,"19.0-b09",1378092901143
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1378092907885
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1378092912611
started,bundle,com.altera.sbtgui.core,13.0.0.156-2,"com.altera.sbtgui.core",1378092914980
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1378092915186
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1378092916062
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1378092916304
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1378092916310
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1378092918212
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1378092918232
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1378092918286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378092918349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378092920408
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1378092920527
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1378092927396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378092929539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378092931073
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1378092931093
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1378092972978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378092999364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378093092664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378093093899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378093146454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378093146580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378093147464
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1378093147658
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378093147995
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1378093148548
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1378093148561
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156-2,"com.altera.debug.cdi.gdb.plugin",1378093148568
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156-2,"com.altera.sbtgui.launch",1378093148568
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156-2,"com.altera.sbtgui.ui",1378093148572
stopped,bundle,com.altera.sbtgui.project,13.0.0.156-2,"com.altera.sbtgui.project",1378093148572
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1378093148572
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1378093148572
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1378093148572
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1378093148637
